prompt,title,essay,score,possui_titulo,quant_de_palavras,Zero?,Língua Port,Tema e Gênero,Coerência,Coesão,Prop de Interv,Distintas,Ortografia,Gramática,Pontuação,Estilo,Concordância,Outros
46,A desestatização e seus efeitos na sociedade,"['O 3° Fórum Mundial da Água ocorrido no Japão, em 2003, tinha como objetivo a privatização dos recursos hídricos em diversos países, o que resultou em uma onda de protestos e campanhas contra. Comparando com o contexto atual, a privatização do saneamento básico no Brasil traz questões polêmicas, pois mesmo com o intuito de universalizar o acesso ao tratamento de esgoto, tem fundamentos contrários aos direitos da Constituição Federal de 1988, sem contar por atenuar as disparidades sociais e por sua vez a pobreza.', 'Em primazia, transformar o setor de auxílios básicos estatal em privado se apresenta ir de encontro à Constituição Federal. De acordo com a Carta Magna, todo e qualquer cidadão brasileiro tem direito à saneamento básico, infraestrutura e água tratada. Logo, entende-se que essas prerrogativas são essenciais e devem ser ofertados de forma integral. No entanto, para atuação de empresas privadas, consideradas modernas pelo uso de fundos ricos em capital e de avanços tecnológicos, necessita-se da cobrança de altas tarifas na população como compensação, que por sua vez aplicadas aquela parcela mais pobre no qual necessita ainda mais dos serviços prestados, porém sem condições de contribuir, ficam inibidas dos mesmos e, consequentemente, de seus privilégios contidos na Carta.', 'Em continuidade, a desnacionalização também é um fator atenuante das disparidades sociais e, por sua vez, da pobreza. De acordo com Amartya Sen, economista indiano, o nível de miséria deve ser medida por meio da privação dos direitos básicos, e não só pela acúmulo de renda. Por meio disso, entende-se que a desnacionalização dos direitos públicos separa os indivíduos entre aqueles que podem arcar privilegiando-os com a adoção dos serviços prestados e privando aqueles que não podem, tornando-os, assim, mais uma vez excluídos e marginalizados da sociedade e fomentando também seu status de carência social.', 'Considerando os aspectos mencionados, é importante a adoção de medidas para a sua resolução. É necessário por parte do Ministério do Desenvolvimento Regional junto ao Ministério do Meio Ambiente\xa0\xa0criarem uma política pública redistributiva visando a manutenção e o fornecimento público ao tratamento de água e esgoto de qualidade e com preços acessíveis todos. Sua ação se daria a partir da criação de fundos feitos pelos estados regionais nos quais depositassem um percentual do capital público que depois seria redistribuído e usado para atender a uma parte da sociedade que carecessem desses meios. Com isso, sua finalidade seria ofertar o acesso ao saneamento básico de forma justa e igual fomentado uma sociedade ideal no campo de vista social. Só assim, será efetuado a universalização do alcance aos bens públicos.']",800,Sim,424,1,160, 160, 160, 160, 160,244,0.0,0.0,0.0,0.0,0.0,6.0
54,o melhor caminho para um país imunizado,"['Uma nação na qual, todos fossem vacinados, doenças como sarampo, catapora e caxumba seriam consideradas extintas. No entanto, o nmero de pessoas vacinadas tem diminuído em todo o Brasil. Logo, doenças que uma vez já foram desconsideradas ameaças saúde, voltaram a assombrar o território brasileiro. Desse modo fatores como os movimentos antivacinas e a falta de verba para cobrir as campanhas disponíveis para todos, tm contribuído com a situação atual, onde a vacina tem sua importância desprezada, assim não est\xa0conseguindo cumprir sua obrigação de prevenir doenças.', 'De certo, a oposição e a resistência da população brasileira em relação vacina, teve sua origem durante a presidência de Rodrigues Alves, no episódio conhecido como revolta da vacina, onde a importância da mesma era desconhecida pela população. Atualmente os brasileiros veem resistindo a vacinação, pelo fato de que surgiram notícias falsas originadas por um grupo de antivacina no qual afirma que esta atua como a doença propriamente dita, levando a casos mais sérios chegando até mesmo ao óbito. Estas noticias já foram desmentidas uma vez que tratava de casos extremamente isolados, além de que a vacina é uma imunização, que previne doenças que podem levar morte. Por tanto os movimentos antivacinas tm convencido muitas pessoas, consequentemente contribuindo para doenças reermergentes como, por exemplo, o sarampo.', 'Sobre tudo a carência de doses de vacina nos postos de saúde é uma das maiores responsáveis pela diminuição da procura desta , uma vez que durante o período de declínio da vacinação, a procura ainda sim, era maior do que a quantidade de materiais e substâncias fornecidas, contribuindo para que cada vez menos pessoas fossem a procura de mesma, pois sabiam que não a conseguiriam gratuitamente. É fato de que com a baixa procura pela imunização, muitos lugares estão com sobra destas substncias. Entretanto quando o problema supracitado for resolvido, a procura será maior do que a demanda, retomando ao antigo problema.', 'Desse modo, para que algumas doenças sejam extintas,\xa0 é necessário algumas mudanças, como: promover campanhas que conscientizem a população, seja por meio de novelas ou outros meios da mídia, como por exemplo o filme “ Uma razão para viver” no qual aborda sobre a doença poliomielite, evidenciando as consequências, os benefícios a importância da vacinação; o Unicef com uma parceria com o governo poderia promover palestras e implantar cuidadosamente campanhas dentro das instituições escolares, que incluíssem a família, fazendo com que assim cada vez mais pessoas fossem informadas sobre a imunização, desse modo aumentaria o nmero de pessoas vacinadas, levando a erradicação de doenças, consequentemente o nmero que hospitalizações diminuiriam e ocorreria reduções no gasto com medicamentos, assim sobraria dinheiro para investir mais nas campanhas de vacinação . Logo, o sonho de uma nação completamente imunizada não estaria muito longe de se alcançar.']",600,Sim,458,1,80, 160, 120, 120, 120,242,0.0,0.0,0.0,0.0,0.0,22.0
47,educação  é  para todos,"['A onstituição de 1988 garante educação para toda a sociedade. Com crescimento e as inovações tecnológicas já era de se esperar que a educação à distância globalizasse muito rápido ,mas será que o Brasil está preparado?', 'No intuito de conter o avanço da pandemia fez-se necessário a implantação do ensino à distância , no entanto a sociedade não está preparada, este é um fator que já deveria ter sido elaborado para qualquer situação emergencial .\xa0As instituições educacionais e os profissionais não tiveram treinamento e nem apoio da secretaria de educação.', 'Em uma primeira perspectiva nota-se a desigualdade social que hordinalmente vem aumentando cada vez mais, o número de evasão escolar já passa dos 50% de alunos e tende a aumentar , pois a tecnologia não chegou para todos. Por mais que tenha o acesso à internet falta recursos primordiais, não só para os alunos mas também para os profissionais.', 'A filósofa alemã Arendt, questiona o processo de massificação da sociedade, o qual forma indivíduos alienados e incapazes de questionar algumas situações, é ,assim caminha a humanidade. Outrossim faz-se necessário que os órgãos competentes tome uma iniciativa emergencial para o treinamento de professores entre outros profissionais, é preciso mais investimento na área da educação , tornase um procedimento imprescindível para democratizar o ensino, a sala de aula de aula digital tem que ser implantada nas regiões onde há um número alarmante de desprovidos de aparelhos eletrônicos a fim erradicar o analfabetismo.']",520,Sim,240,1,160, 120, 80, 120, 40,152,0.0,0.0,0.0,0.0,0.0,15.0
82,,"['A automedicação é muito utilizada pela população brasileira.Os meios de comunicação constantemente relatam que é alarmante o número de pessoas que se automedicam.Diante disso,ocorrem os riscos que esse ato pode acometer os indivíduos sendo fundamental reverter esse quadro.', 'Dados estatísticos \xa0como \xa0relatado pela Organização Mundial da Saúde,revela \xa0\xa0que a maioria das pessoas possuem \xa0o hábito de se medicarem \xa0por conta própria.Essa prática traz\xa0consequências que em grande parte podem ser irreverssíveis.Exemplo este,é\xa0a\xa0intoxicação\xa0que \xa0se não for\xa0tratada\xa0rapidamente causa\xa0a morte do indivíduo.A falta de instruções\xa0de algumas pessoas em relação a \xa0dose,a qual medicamento tomar para a enfermidade que o aflinge ,além das diversas combinações farmacológicas,superlotam os centros de toxicologias nas cidades brasileiras.Esse mal acomete muitas vítimas diariamente e aumenta as estatísticas de maneira exorbitante,além de preocupar as autoridades em\xa0sáude.', 'Como o Sistema Único de Saúde (SUS) é um orgão público que está continuamente superlotado,algumas pessoas julgam desnecessária uma consulta com o médico em casos básicos.As dores de cabeça,as gripes,um ferimento leve,por exemplo,por serem considerados pelas pessoas um simples sintomas,as levam  a se automedicarem .Além disso,pela facilidade de acesso aos medicamentos sem a apresentação de receitas nas farmácias no Brasil,aumentam o consumo exagerado de remédios por parte da população.Isso faz crescer\xa0a resistência de microorganismos ,como nos antibióticos,em que as bactérias se tornam resistentes com o uso errado da medicação e isso piora a situação.', 'Diante de toda essa problemática,a OMS deve criar propagandas socoieducativas através \xa0da mídia para conscientizar a população mundial sobre os riscos da automedicação.Já no Brasil,o Ministério da Saúde \xa0junto ao \xa0SUS, deve \xa0diminuir a venda exagerada de medicamentos que mais podem causar danos á \xa0saúde do povo brasileiro.Isso poderá ser feito por meio do controle das receitas \xa0sendo prescritas as quantidades necessárias conforme a necessidade\xa0de cada paciente.Assim,esse problema será amenizado e a população terá melhor qualidade de vida.']",720,Não,297,1,120, 160, 160, 120, 160,212,0.0,0.0,0.0,0.0,0.0,63.0
51,Consequências do analfabetismo no Brasil,"['Analfabetismo funcional no Brasil é um problema global, que cada dia tem o aumento no índice, é um problema grave para o país gerado pelos fatores: falta de acesso, falta de conteúdos atualizados, bibliotecas e insegurança muitos causados pelos modelos de educação.', 'Por muitas vezes o analfabetismo funcional é por falta de motivação e redução de oportunidades de inclusão social e empregabilidade, por medo de não conseguir um crescimento profissional.\xa0Pois,\xa0 ainda existe a concepção que o estudo é uma perca de tempo , em relação ao nível de estudo na mão de obra se ganha o mesmo valor na remuneração desvalorizando o estudo.', 'Outro fator é a dificuldade de ler, escrever, interpretar e desenvolver atividades que o aluno não trazem os conhecimentos de conteúdos que deveriam ser trabalhados desde início do ensino fundamental, a falta de acesso à escola por falta de transporte em lugares distantes e até mesmo a qualidade de vida de muitos não proporciona condições de qualificar por falta de tempo, pois tem que trabalhar para o sustento e ajudar a família.', 'Hoje em dia, principalmente os jovens estão desmotivados para os estudos porque não há incentivos, pensando dessa forma a importância de profissionais formados na área da educação, as escolas deveriam adotar medidas educacionais voltada para atender a diversidade que valorizem as habilidades e potencialidades de cada aluno e inserir no mercado de trabalho seria um incentivo para essa motivação e também resgatar os valores dos professores e conteúdo a serem ensinados para despertar o senso de responsabilidades e ensinando valores tais como respeito e disciplina para não serem excluídos da sociedade.']",480,Sim,266,1,120, 120, 80, 80, 80,156,0.0,0.0,0.0,0.0,0.0,3.0
55,,"['“Quando o português chegou debaixo duma bruta chuva, vestiu o índio.Que pena! Fosse uma manhã de sol, o índio tinha despido o português.” O lamento expresso por Oswald de Andrade sobre a ocasião do “descobrimento” do Brasil continua a ecoar mais de 500 anos depois. O fato é que ainda hoje enfrentamos\xa0 um cenário de desvalorização e de falta de garantia dos direitos dos povos indígenas.', 'Para que o Brasil torne-se de fato uma nação desenvolvida, justa e igualitária, é de suma importância que haja políticas públicas voltadas para a valorização da população indígena. Segundo dados do censo do IBGE de 2010, no Brasil, há quase um milhão de pessoas que se declaram ou se consideram indígenas. Se não houver respeito e garantia de direitos para esses povos, o Brasil estará minando cada vez mais o rico legado cultural deixado por eles para a História do Brasil e menosprezando um número expressivo de pessoas que deveriam ser protegidas e amparadas pelo Estado.', 'Os povos indígenas também devem ter seus direitos preservados com vistas ao cumprimento do que foi estabelecido pela Constituição de 1988, que trouxe grandes avanços em relação aos direitos sociais das minorias, como o direito às terras que os indígenas tradicionalmente ocupam. O menosprezo às necessidades desses povos é, portanto, um atentado ao que é garantido pela Constituição.', 'Assim sendo, cabe ao Estado, por meio de políticas públicas específicas, criar mecanismos legais de proteção aos direitos indígenas, bem como ações de valorização e promoção da identidade e cultura desses povos. Cabe ainda à população como um todo fiscalizar e cobrar das autoridades o cumprimento do que está estabelecido na Constituição e mais avanços na proteção do legado cultural indígena.']",560,Não,281,1,120, 160, 80, 120, 80,163,0.0,0.0,0.0,0.0,0.0,4.0
59,Fome,"['No Brasil, a fome constitui uma chaga social,\xa0 que impede o exercício pleno da cidadania, em um território marcado historicamente por profundas desigualdades sociais. Nesse cenário, enquanto uma pequena parte da elite detém grande parte das riquezas produzidas, uma significativa parcela da população, cerca de 5 milhões, entre 2015 e 2017, segundo a Organização das Nações Unidas para Alimentação e Agricultura , convive diariamente com a escassez alimentar – constituindo, dessa forma, um verdadeiro ataque à dignidade da pessoa humana. Com efeito, este cenário tem como pano de fundo problemas relacionados à concentração de terras bem como à desproporcional distribuição de alimentos.', 'Em primeira análise, durante o século XX, inúmeros trabalhadores, objetivando se esquivar da fome e da pobreza, migraram em direção às grandes metrópoles, a saber, São Paulo e Rio de Janeiro, em busca de empregos, visto que, grande parte, não possuíam terras para produzir. Este quadro revela que persistir no território brasileiro uma concentração de terras, a qual impede o desenvolvimento social e econômico das famílias. Nesse caminho, a reforma agrária – sendo um direito amparado juridicamente – surge como uma forma de garantir uma partilha justa de terras,\xa0 que, acima de tudo, permita reduzir a desigualdade social.', 'Em segunda análise, a nação brasileira é reconhecida internacionalmente pelo extraordinário potencial produtivo em termos de produção agrícola. Embora o Brasil lidere grandes exportações de gêneros alimentícios, uma acentuada parcela de cidadãos padece pela ausência de comida,\xa0\xa0em um país que tem a capacidade produtiva e tecnologias para alimentar todos os brasileiros. Esta dicotomia evidencia que há a necessidade de políticas públicas, nas quais o acesso ao alimento ocorresse de modo que a quantidade e a qualidade sejam suficientes para viver de forma saudável. A exemplo do programa “Fome Zero”, engendrado pelo governo federal, em 2003, por meio do qual milhões de pessoas passaram a viver dignamente, através de projetos de transferência de renda, como o Bolsa Família.', 'Portanto, buscando contribuir para a erradicação da pobreza, ou, até mesmo, atenuá-la, às prefeituras municipais caberiam dedicar uma verba específica, doada mensalmente, para as famílias que vivem à margem da sociedade, sem condições de alimentação e em estado de pobreza, a fim de condições de cidadania aos brasileiros. O valor recebido seria dedicado a compra de alimentos e para necessidades básicas do ser humano. Dessa forma, seria possível alimentar a esperança daqueles que, por fatores políticos, sociais e econômicos, são vítimas das desigualdades sociais.']",760,Sim,401,1,120, 200, 160, 160, 120,246,0.0,0.0,0.0,0.0,0.0,7.0
47,Os desafios da educação a distância em tempos de pandemia,"['Desde o início da pandemia, com a necessidade de estabelecer o isolamento social para evitar a propagação do coronavírus, a modalidade de ensino, no Brasil e no mundo, teve de ser repensada. Dessa forma, necessitou-se ampliar o acesso à educação a distância, a qual era usada, principalmente, no ensino superior e técnico. Contudo, inúmeros desafios surgiram, pois nem todos os alunos possuem acesso à internet, bem como nem todos os professores sabem usar essa ferramenta ao seu favor . Além disso, o governo deve sancionar decretos que regularizem essa modalidade para os diversos níveis de escolaridade. Sendo assim, essa situação dispersou na sociedade a necessidade de haver planos alternativos para combater problemas inesperáveis.', 'Em primeira análise, vale ressaltar que, no Brasil, o nível de desigualdade social é muito alto . Por isso, nem todas as pessoas possuem acesso à internet. Por outro lado, as escolas públicas não costumam possuir e utilizar essa ferramenta, o que dificulta a interação do professor com esse meio, impossibilitando-o de utilizá-lo em benefício do aprendizado. Sendo assim, todos esses fatores foram determinantes para impossibilitar a aplicação dessa modalidade de estudo desde o início da dispersão da doença.', 'Em segunda análise, corre-se o risco de não haver ano letivo, pois já se passou muitos meses de quarentena e o governo não estabeleceu regras, por meio de decretos, para que o ensino a distância seja aplicado nos níveis fundamental, médio e superior. A demora do governo em decidir o que fazer para não perder o ano letivo tem deixado os estudantes preocupados, principalmente os de escola pública e os que concluem o ensino médio este ano, pois estudar em casa é um desafio para muitos e exige disciplina e força de vontade, o que, muitas vezes, nem todos possuem . Desse modo, percebe-se que o objetivo da escola vai além de apenas repassar conteúdos acadêmicos, visto que el possibilita uma maior interação social e garante apoio psicológico. Por conseguinte, o governo deve agir o mais rápido possível para não desamparar esses alunos.', 'Portanto, antes que o problema acerca das dificuldades no ensino a distância se agravem, é preciso intervir. Logo, os governantes\xa0 devem, urgentemente, sancionar decretos que estabeleçam a obrigatoriedade do ensino a distância em todos os estados. Isso pode ocorrer por meio de aulas gravadas que serão disponibilizadas para todo o Brasil, através de aplicativos ou canais televisivos, enquanto os professores se incumbiriam de solicitar trabalhos relacionados a essas aulas como forma de avaliação. Com isso, parte do ano letivo seria recuperado e os alunos e professores não iriam ser prejudicados.']",840,Sim,425,1,160, 160, 160, 200, 160,228,0.0,0.0,0.0,0.0,0.0,9.0
56,Sistema precário,"['A situação carcerária do Brasil é constantemente alvo de críticas e denúncias não só por parte dos veículos de comunicação tradicionais, mas como também pela população em geral, destacando-se principalmente as pessoas que vivem em regiões mais violentas, já que estão diretamente envolvidas por relatos sobre este cenário . É preciso que medidas sejam tomadas visando reverter a situação atual, na qual existe uma grande precariedade que acaba afetando todos os níveis da sociedade.', 'Primeiramente, é preciso compreender os motivos pelos quais a quantidade de presos é tão alta no Brasil, cerca de 840 mil pessoas até o final de 2018, ficando atrás apenas dos Estados Unidos e da China. Esses dados altamente significativos têm como uma das causas principais a educação pública precária que existe no país, que na maioria das vezes não traz uma boa perspectiva de vida e nem uma consciência dos valores éticos, morais e sociais que supostamente deveriam estar presentes na sociedade . Essa falta de consciência faz com que muitos crimes, os quais poderiam ser evitados através do conhecimento, sejam cometidos, principalmente pelas pessoas com menores condições socioeconômicas.', 'Esse número tão alto de presos faz com que existam inúmeros problemas nas cadeias, dentre eles podem ser citados a superlotação e as condições insalubres e desumanas, causadas principalmente pela falta de vagas disponíveis e pela falta de higiene e comida, respectivamente . Frequentemente, conflitos entre os próprios prisioneiros, acesso à celulares e até mesmo fugas acontecem dentro das cadeias, evidenciando a fragilidade não só das estruturas carcerárias como também da segurança desses locais. Tudo isso leva a conclusão de que mudanças são cada vez mais necessárias para o bom funcionamento do sistema prisional.', 'Entre essas mudanças devem estar incluídas, principalmente, melhoras no ensino público, já que a educação representa a base da sociedade e, portanto, tem o papel de construir e formar cidadãos conscientes. Isso deve ser feito através de maiores investimentos do Ministério da Educação nas escolas públicas, além de campanhas sobre a importância da educação através de veículos de comunicação que atinjam a massa da população, como rádio, televisão e jornal. A quantidade de presídios deve atender toda a demanda de presos, sempre contando com boa estrutura e segurança adequada. A verba para isso deve estar incluída nos orçamentos do Governo e precisa ser repassada de forma correta aos Estados, ou seja, sem desvios ou cortes.']",800,Sim,393,1,160, 160, 160, 160, 160,238,0.0,0.0,0.0,0.0,0.0,6.0
74,,"['A violência contra a mulher é todo ato que result\xa0em morte ou lesão física, sexual ou psicológica de mulheres, tanto na esera pública quanto na privada. Em alguns casos é considerado como um crime de ódio, ssas violências contra as mulheres não reconhece barreiras geográficas, econômicas e sociais, elas acontece cotidianamente. Este tipo de violência é baseada em gênero, o que significa que os atos de violência são cometidos contra as mulheres simplesmente porque são mulheres. No Brasil vivemos\xa0com uma lacuna histórica na produção de dados nacionais capazes de revelar as dimensões da violência contra as mulheres, segundo a Central de Atendimento à mulher n o 1° semestre de 2016, 12,23% (67.962,00) casos corresponderam à atos de violência contra à mulher ou seja, 3 em 5 mulheres jovens já sofreram violência.Essa violência baseada no gênero está intimamente relacionada com a visão histórica das mulheres como propriedade e um papel de subserviência de gênero.', 'Dizer que o feminicídio é um fato social desagradável à imagem da mulher que foi enraizada devido a uma cultura discriminatória trazida pelos colonos , isso é frustante , pois não resulta em melhor forma atenuada de convívio social e pacífico, contudo, é necessário em nosso País:', '- Adote um novo modelo de ensino nas escolas para que assim promovam uma maior conscientização quando estes chegarem a fase adulta.', '- Adote um modelo social de colaboração para que ambos encontrem uma solução adequada sem violência.', '- Adote um modelo político, os três poderes Legislativo, Executivo e Judiciário façam reformas na lei com o intuito de combater de maneira eficaz as injustiças praticadas por ambos.']",280,Não,267,1,120, 40, 40, 40, 40,161,0.0,0.0,0.0,0.0,0.0,12.0
